datetime,AAPL,cash,commission,total,returns,equity_curve,drawdown
1990-01-01,0.0,100000.0,0.0,100000.0,,,
1990-01-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-31,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-13,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-13,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-25,28.702299999999997,99968.5626,1.3,99997.26490000001,-2.7350999999953274e-05,0.999972649,2.7350999999953274e-05
1990-05-29,29.419800000000002,99968.5626,1.3,99997.98240000001,7.175196248709881e-06,0.999979824,2.0176000000038385e-05
1990-05-30,29.6889,99968.5626,1.3,99998.2515,2.6910542945124405e-06,0.9999825149999998,1.7485000000205808e-05
1990-05-31,29.599199999999996,99968.5626,1.3,99998.1618,-8.970156842869059e-07,0.9999816179999998,1.838200000015e-05
1990-06-01,29.2404,99968.5626,1.3,99997.803,-3.5880659557951944e-06,0.9999780299999999,2.1970000000148815e-05
1990-06-04,29.2404,99968.5626,1.3,99997.803,0.0,0.9999780299999999,2.1970000000148815e-05
1990-06-05,28.3435,99968.5626,1.3,99996.90610000001,-8.969197053176892e-06,0.9999690609999999,3.093900000006311e-05
1990-06-06,28.3435,99968.5626,1.3,99996.90610000001,0.0,0.9999690609999999,3.093900000006311e-05
1990-06-07,27.9847,99968.5626,1.3,99996.5473,-3.5881110125313143e-06,0.9999654729999999,3.4527000000061925e-05
1990-06-08,27.4465,99968.5626,1.3,99996.00910000001,-5.3821858306823955e-06,0.9999600909999999,3.9909000000060146e-05
1990-06-11,27.9847,99968.5626,1.3,99996.5473,5.382214798732576e-06,0.9999654729999998,3.452700000017295e-05
1990-06-12,29.060999999999996,99968.5626,1.3,99997.6236,1.0763371626865137e-05,0.9999762359999997,2.3764000000259244e-05
1990-06-13,28.5229,99968.5626,1.3,99997.0855,-5.381127877179814e-06,0.9999708549999997,2.9145000000285748e-05
1990-06-14,28.5229,99968.5626,1.3,99997.0855,0.0,0.9999708549999997,2.9145000000285748e-05
1990-06-15,28.3435,99968.5626,1.3,99996.90610000001,-1.7940522876180864e-06,0.9999690609999997,3.0939000000285155e-05
1990-06-18,28.164,99968.5626,1.3,99996.72660000001,-1.7950555372125976e-06,0.9999672659999997,3.273400000025628e-05
1990-06-19,28.433199999999996,99968.5626,1.3,99996.9958,2.6920881228686966e-06,0.9999699579999998,3.004200000022994e-05
1990-06-20,28.702299999999997,99968.5626,1.3,99997.26490000001,2.6910808454960744e-06,0.9999726489999998,2.735100000017532e-05
1990-06-21,30.0477,99968.5626,1.3,99998.6103,1.3454367990384242e-05,0.9999861029999998,1.3897000000206994e-05
1990-06-22,29.7786,99968.5626,1.3,99998.34120000001,-2.6910373972510726e-06,0.9999834119999998,1.6588000000150593e-05
1990-06-25,29.599199999999996,99968.5626,1.3,99998.1618,-1.79402975941656e-06,0.9999816179999998,1.838200000015e-05
1990-06-26,29.1507,99968.5626,1.3,99997.7133,-4.4850824447717486e-06,0.9999771329999999,2.2867000000093007e-05
1990-06-27,29.7786,99968.5626,1.3,99998.34120000001,6.279143585308233e-06,0.9999834120000001,1.658799999992855e-05
1990-06-28,30.8549,99968.5626,1.3,99999.41750000001,1.076317853954123e-05,0.999994175,5.825000000014846e-06
1990-06-29,32.110699999999994,99968.5626,1.3,100000.67330000001,1.2558073150703564e-05,1.000006733,0.0
1990-07-02,31.572499999999998,99968.5626,1.3,100000.1351,-5.3819637633178985e-06,1.0000013509999999,5.382000000109244e-06
1990-07-03,31.572499999999998,99968.5626,1.3,100000.1351,0.0,1.0000013509999999,5.382000000109244e-06
1990-07-05,31.2137,99968.5626,1.3,99999.7763,-3.5879951526540665e-06,0.9999977629999999,8.970000000108058e-06
1990-07-06,32.110699999999994,99968.5626,1.3,100000.67330000001,8.97002006605696e-06,1.000006733,0.0
1990-07-09,33.4561,99968.5626,1.3,100002.0187,1.3453909414762322e-05,1.0000201869999998,0.0
1990-07-10,33.725100000000005,99968.5626,1.3,100002.2877,2.6899456979645464e-06,1.0000228769999997,0.0
1990-07-11,33.725100000000005,99968.5626,1.3,100002.2877,0.0,1.0000228769999997,0.0
1990-07-12,33.9942,99968.5626,1.3,100002.5568,2.6909384394091518e-06,1.0000255679999996,0.0
1990-07-13,33.5458,99968.5626,1.3,100002.10840000001,-4.483885356010298e-06,1.0000210839999997,4.483999999971289e-06
1990-07-16,32.738499999999995,99968.5626,1.3,100001.30110000001,-8.072829792427072e-06,1.0000130109999996,1.2557000000024132e-05
1990-07-17,31.751800000000003,99968.5626,1.3,100000.3144,-9.866871622188356e-06,1.0000031439999995,2.2424000000187405e-05
1990-07-18,32.021,99968.5626,1.3,100000.5836,2.691991536352134e-06,1.0000058359999995,1.9732000000161065e-05
1990-07-19,29.958000000000002,99968.5626,1.3,99998.5206,-2.062987960393947e-05,0.9999852059999995,4.036200000012702e-05
1990-07-20,29.419800000000002,99968.5626,1.3,99997.98240000001,-5.38207962241799e-06,0.9999798239999996,4.574400000001422e-05
1990-07-23,29.7786,99968.5626,1.3,99998.34120000001,3.5880723929793135e-06,0.9999834119999996,4.21560000000154e-05
1990-07-24,30.226999999999997,99968.5626,1.3,99998.7896,4.484074381805314e-06,0.9999878959999996,3.7672000000044115e-05
1990-07-25,30.3167,99968.5626,1.3,99998.8793,8.970108573702618e-07,0.9999887929999995,3.677500000009992e-05
1990-07-26,29.6889,99968.5626,1.3,99998.2515,-6.27807035835648e-06,0.9999825149999996,4.305300000007062e-05
1990-07-27,29.6889,99968.5626,1.3,99998.2515,0.0,0.9999825149999996,4.305300000007062e-05
1990-07-30,30.4064,99968.5626,1.3,99998.96900000001,7.1751254571150724e-06,0.9999896899999996,3.587800000004471e-05
1990-07-31,30.137399999999996,99968.5626,1.3,99998.70000000001,-2.690027734231215e-06,0.9999869999999995,3.856800000012761e-05
1990-08-01,30.4064,99968.5626,1.3,99998.96900000001,2.6900349705538673e-06,0.9999896899999996,3.587800000004471e-05
1990-08-02,31.2137,99968.5626,1.3,99999.7763,8.073083233250955e-06,0.9999977629999993,2.780500000032493e-05
1990-08-03,29.599199999999996,99968.5626,1.3,99998.1618,-1.6145036116355094e-05,0.9999816179999994,4.3950000000236855e-05
